 Chi-square deviation of the real and imaginary part
  
 CHISQR   1.6385284111627613E-004
 CHISQI   1.8123449258910417E-004
  
  Real and Imag. coefficients for the S-matrix fit
  No. of coefficients =           40
  
  
 Smat.  fit: 1st column = B (fm)
           : 2nd column = real part of S
           : 3rd column = Gaussian fit of real part
           : 4th column = imaginary part of S
           : 5th column = Gaussian fit of imag. part
  
  0.133     -0.196E-05  0.173E-02  0.349E-05  0.606E-03
  0.200     -0.297E-05  0.108E-02  0.289E-05  0.361E-03
  0.267     -0.361E-05  0.311E-03  0.243E-05  0.731E-04
  0.333     -0.409E-05 -0.487E-03  0.215E-05 -0.215E-03
  0.400     -0.454E-05 -0.120E-02  0.204E-05 -0.461E-03
  0.467     -0.501E-05 -0.174E-02  0.210E-05 -0.628E-03
  0.533     -0.552E-05 -0.202E-02  0.236E-05 -0.692E-03
  0.600     -0.608E-05 -0.202E-02  0.285E-05 -0.646E-03
  0.667     -0.669E-05 -0.172E-02  0.361E-05 -0.500E-03
  0.733     -0.732E-05 -0.119E-02  0.473E-05 -0.279E-03
  0.800     -0.790E-05 -0.479E-03  0.628E-05 -0.192E-04
  0.867     -0.834E-05  0.301E-03  0.837E-05  0.238E-03
  0.933     -0.847E-05  0.104E-02  0.111E-04  0.452E-03
   1.00     -0.806E-05  0.164E-02  0.146E-04  0.590E-03
   1.07     -0.675E-05  0.202E-02  0.190E-04  0.634E-03
   1.13     -0.405E-05  0.211E-02  0.242E-04  0.579E-03
   1.20      0.619E-06  0.192E-02  0.300E-04  0.438E-03
   1.27      0.805E-05  0.145E-02  0.362E-04  0.238E-03
   1.33      0.191E-04  0.788E-03  0.420E-04  0.164E-04
   1.40      0.347E-04  0.689E-05  0.462E-04 -0.193E-03
   1.47      0.557E-04 -0.774E-03  0.469E-04 -0.354E-03
   1.53      0.823E-04 -0.143E-02  0.414E-04 -0.441E-03
   1.60      0.114E-03 -0.190E-02  0.263E-04 -0.449E-03
   1.67      0.149E-03 -0.208E-02 -0.277E-05 -0.384E-03
   1.73      0.184E-03 -0.196E-02 -0.509E-04 -0.273E-03
   1.80      0.213E-03 -0.154E-02 -0.123E-03 -0.151E-03
   1.87      0.224E-03 -0.891E-03 -0.223E-03 -0.601E-04
   1.93      0.205E-03 -0.122E-03 -0.351E-03 -0.405E-04
   2.00      0.137E-03  0.665E-03 -0.506E-03 -0.118E-03
   2.07      0.106E-05  0.132E-02 -0.675E-03 -0.299E-03
   2.13     -0.226E-03  0.170E-02 -0.840E-03 -0.559E-03
   2.20     -0.562E-03  0.172E-02 -0.968E-03 -0.855E-03
   2.27     -0.102E-02  0.129E-02 -0.101E-02 -0.110E-02
   2.33     -0.160E-02  0.446E-03 -0.917E-03 -0.120E-02
   2.40     -0.228E-02 -0.798E-03 -0.610E-03 -0.104E-02
   2.47     -0.301E-02 -0.230E-02 -0.144E-04 -0.507E-03
   2.53     -0.372E-02 -0.385E-02  0.944E-03  0.481E-03
   2.60     -0.427E-02 -0.524E-02  0.232E-02  0.201E-02
   2.67     -0.451E-02 -0.619E-02  0.415E-02  0.409E-02
   2.73     -0.426E-02 -0.641E-02  0.642E-02  0.661E-02
